employee_id start_time finish_time
UTIK8 1611486572065 1611487685588
JFFO9 2000000000000 1611878067760
NUZG8 1611272946832 1611287326623
UUOV8 1609466237564 1609473053995
PTTG8 1610439349208 1610445506538
HYLB9 1610593872866 1610596681503
WQRB3 1610383369157 1610385460300
UTIK8 1610531058110 1610536298052
WXYT6 1611480925310 1611492344484
IPZK0 1609752314481 1609758357236
WQRB3 1612030445875 1612041968083
NUZG8 1611902319319 1611915328851
NUZG8 1609532266703 1609537738685
LQOB1 1610033498939 1610039370297
VMVD9 1610144608304 1610149267412
UTIK8 1609837995992 1609841115457
ZEAY5 1611909693431 1611912579531
NUZG8 1609593494081 1609606632246
LPZG9 1610829064458 1610840426285
ZEAY5 1611012266083 1611018417086
VMVD9 1610370709705 1610377562671
JFFO9 1611189081335 1611198331153
IPZK0 1610862288656 1610866421785
VMVD9 1611717869677 1611721193665
JFFO9 1611130515357 1611135581292
VMVD9 1611813009083 1611824128287
LQOB1 1609734419197 1609738427736
HMOS3 1610433865646 1610444114679
VMVD9 1610465167471 1610469298969
ZEAY5 1610084366251 1610096299403
JFFO9 1611277680751 1611281433196
WQRB3 1609701148297 1609713515403
WXYT6 1609480415411 1609487607433
ZEAY5 1610712347411 1610722014263
FKQN0 1610140947105 1610155097396
